a 啊
inb 吹牛逼
inj 刹那间
inl 吃腻了
inm 处女膜
inp 吹牛皮
inr 成年人
iql 出去了
iqt 出气筒
iqu 重庆市
iqw 出去玩
itg 床头柜
itn 出头鸟
itt 赤条条
vtx 长筒靴
ity 差太远
ivb 成正比
ivy 出主意
iwf 吃完饭
iwg 储物柜
iwh 常委会
iwl 吃完了
iwt 出问题
iww 颤巍巍
iwx 储物箱
ixb 插线板
ixf 吃闲饭
ixl 出现了
ixq 吃下去
ixs 储蓄所
ixu 畅销书
ixv 初学者
ixx 持续性
ixy 程序员
ixz 趁现在
iys 超音速
iyz 常用字
jav 紧挨着
jbf 加班费
jcc 急匆匆
jcl 记错了
jcy 仅次于
jdd 娇滴滴
jdj 基督教
jdl 几点了
jdu 绝对是
jdy 就等于
jeg 今儿个
jfl 解放了
jfp 警匪片
jfq 解放前
jft 简繁体
jfu 紧肤水
jfv 几分钟
jfx 见分晓
jgg 九宫格
jgi 加工厂
jgj 金刚经
jgl 举个例
jgm 见个面
jgn 结果呢
jgp 截个屏
jgr 几个人
jgs 见光死
jgt 截个图
jgw 甲骨文
jgy 几个月
jgz 几个字
jhb 就好比
jhg 脚后跟
jhi 交汇处
jhj 交换机
jhm 激活码
jhr 监护人
jhu 几乎是
jhx 就好像
jhz 叫花子
jjc 经济舱
jjg 肩胛骨
jjh 几句话
jji 竞技场
jjk 借记卡
jjl 解决了
jjm 解解闷
jjn 近几年
jjr 节假日
jjt 近几天
jju 旧金山
jjw 降降温
jjx 积极性
jlb 俱乐部
jnp 纪念品
jru 假如说
jrx 兼容性
jry 金融业
jsj 计算机
jsl 急死了
jsq 计算器
jsu 江苏省
jtg 晶体管
jui 寄生虫
jun 几十年
jvd 就知道
jvf 鸡爪疯
jvg 价值观
jvh 镜中花
jvj 假正经
jvk 急诊科
jvm 就这么
jvr 截止日
jvt 脚趾头
jvu 简直是
jvv 居住证
jvw 急转弯
jvx 集装箱
jwb 巨无霸
jwd 经纬度
jwh 居委会
jwj 鸡尾酒
jwl 就为了
jwn 几万年
jwr 局外人
jwu 家务事
jwv 健忘症
jwx 基围虾
jwy 寄望于
jxp 教学片
jys 交易所
jzb 酒糟鼻
jzg 节奏感
jzj 剧作家
jzl 君子兰
jzt 金字塔
jzy 就在于
kbd 看不懂
kbg 看不惯
kbj 看不见
kbk 看不看
kbl 快不了
kbp 恐怖片
kbq 看不清
kbt 看不透
kbu 看不上
kbx 可比性
kby 可不要
kbz 哭鼻子
kfu 开发商
kfx 开放性
kfy 口服液
kfz 孔夫子
kgb 克格勃
kgl 看过了
kgv 恐高症
kgx 客观性
khd 客户端
khp 科幻片
khz 葵花籽
kib 开场白
kid 快车道
kij 空城计
kil 看出来
kix 可持续
kkx 可靠性
kli 可怜虫
kll 卡路里
kmg 看门狗
kmh 开门红
kml 喀麦隆
kmu 开幕式
kmz 扣帽子
knb 可能吧
knd 跨年度
knh 困难户
knl 看腻了
knm 可能吗
knu 可能是
knx 可能性
kny 肯尼亚
kpl 堪培拉
kqi 看清楚
kqk 看情况
kql 看起来
kqu 矿泉水
krj 苦肉计
krn 看热闹
ksx 可塑性
kte 卡塔尔
kth 客套话
kti 口头禅
ktu 口头上
kty 口头语
kuh 口水话
kui 瞌睡虫
kuq 看上去
kvm 扩展名
kwb 勘误表
kwc 开胃菜
kwj 矿务局
kwt 科威特
kwv 矿物质
kwx 开玩笑
kxc 空心菜
kxi 开小差
kxj 科学家
kxs 苦行僧
kxu 亏心事
kxx 可行性
kyb 看一遍
kyd 快一点
kyi 开夜车
kyk 看一看
kyv 客运站
kyx 看一下
kyy 看一眼
kyz 看样子
lbh 老本行
lbj 来不及
lbn 老板娘
lbp 两边跑
lbq 了不起
lbv 留不住
lcw 另存为
ldj 来得及
ldk 离得开
ldn 老大难
ldx 流动性
ldy 老掉牙
lfl 浪费了
lfm 两方面
lft 龙凤胎
lfv 两分钟
lgb 两个半
lgf 驴肝肺
lgh 泸沽湖
lgk 理工科
lgr 两个人
lgv 两个钟
lgy 两个月
lgz 两个字
lhb 厉害吧
lhl 厉害了
lhn 老黄牛
lht 老糊涂
lhu 两回事
lhv 兰花指
lhx 灵活性
lji 龙井茶
ljq 立交桥
ljt 垃圾桶
lku 流口水
llu 理论上
lml 来没来
lmu 两码事
lmv 龙门阵
lnn 老奶奶
lph 脸皮厚
lpj 零配件
lpp 老婆婆
lpy 老朋友
lrl 利润率
lsc 两三次
lsg 两三个
lsj 两三句
lsn 两三年
lsr 累死人
lst 两三天
lsy 类似于
ltd 鹿特丹
lte 老头儿
ltj 落汤鸡
ltl 两条路
ltp 老太婆
ltq 愣头青
ltu 立体声
ltx 老同学
lty 老天爷
lvv 连轴转
lvy 雷阵雨
lwe 遛弯儿
lxj 连续剧
lxq 拉下去
lxt 旅行团
lxu 两小时
lxv 老想着
lxx 连续性
lxz 两下子
lyc 来一次
lyg 另一个
lyh 莱茵河
lym 另一面
lyu 露一手
lyv 另一种
lzz 乱糟糟
mbr 明白人
mbt 摸不透
mbv 明摆着
mdh 忙得很
mdm 面对面
mdx 目的性
meb 墨尔本
meg 明儿个
meq 门儿清
met 马耳他
mfl 麻烦了
mfv 每分钟
mfw 马蜂窝
mfx 没发现
mfy 没反应
mgf 没工夫
mgp 冒个泡
mgr 每个人
mhe 眯会儿
mhh 明晃晃
mhp 马后炮
mhq 灭火器
mht 明后天
mhy 模糊音
mix 没出息
mjl 孟加拉
mkf 麦克风
mkn 没可能
mks 马克思
mld 没料到
mlh 茉莉花
mli 美联储
mlj 美利坚
mll 毛利率
mlm 摸了摸
mls 马拉松
mlv 面临着
mlw 马拉维
mly 没理由
mlz 仫佬族
mmb 没明白
mmi 毛毛虫
mnh 慕尼黑
mnl 马尼拉
mny 木乃伊
mpt 孟婆汤
mqd 马其顿
mqg 没去过
mql 没钱了
mqx 明确性
mqz 煤气灶
mre 美人儿
mrj 美人计
mrl 没人理
mrr 毛茸茸
mrx 没人性
mry 美人鱼
msb 慢三步
msl 忙死了
msw 没所谓
mtd 没听懂
mtg 没听过
mth 满堂红
mti 摩托车
mtj 没听见
mtl 摩天轮
mtq 没听清
mtr 木头人
mtt 慢吞吞
mtu 没听说
mtx 满天星
mty 猫头鹰
mur 陌生人
mve 没准儿
mvh 民主化
mvj 没主见
mvl 命中率
mvm 没这么
mvp 免战牌
mvv 没找着
mvw 没指望
mvx 毛主席
mvy 没注意
mwk 没胃口
mxb 明细表
mxd 没想到
mxg 没想过
mxp 明信片
mxq 没兴趣
mxr 某些人
mxu 每小时
mxv 没闲着
mxy 莫须有
mxz 慢性子
myb 每一步
myc 每一次
myd 慢一点
myf 每一份
myg 每一个
myi 梦一场
myj 没意见
myk 每一刻
myl 没有了
mym 摸一摸
myn 每一年
myp 慢一拍
mys 没意思
myt 每一天
myu 名义上
myv 每一种
myw 每一位
myx 每一项
myy 慢悠悠
myz 牡羊座
mzd 毛泽东
mzg 满足感
mzl 满足了
mzm 没怎么
nbd 弄不懂
nbg 拗不过
nbi 难不成
nbj 那不就
nbn 能不能
nbq 弄不清
nbq 南半球
nbu 那不是
nbv 耐不住
nbz 牛鼻子
ncl 弄错了
ndb 脑电波
ndg 脑袋瓜
ndl 拿到了
nfm 哪方面
nga 尼姑庵
ngc 哪根葱
ngz 那个字
nhe 那会儿
nhh 黏糊糊
nhl 拿回来
nhq 奈何桥
nil 拿出来
nip 农产品
njh 那句话
njj 牛角尖
njl 凝聚力
njv 南极洲
nkt 脑壳痛
nld 哪来的
nll 年利率
nmd 那么多
nmg 内蒙古
nmv 南美洲
nmy 脑膜炎
nmz 脑门子
nnl 努努力
npl 拿破仑
npq 牛脾气
npu 哪怕是
npx 牛皮癣
nqh 年轻化
nql 哪去了
nre 尼日尔
nrm 牛肉面
nrp 男人婆
nrr 暖融融
ntl 那条路
nur 纳税人
nus 鸟兽散
nuv 逆时针
nvd 哪知道
nvw 闹着玩
nvy 乃至于
nxb 脑细胞
nxg 那些个
nxl 纽西兰
nxn 那些年
nxu 脑血栓
nxz 那小子
nyd 哪一点
nyf 年夜饭
nyg 哪一个
nyh 哪一回
nyk 哪一款
nyr 年月日
nyv 哪一种
nyw 哪一位
nzh 男子汉
nzj 娘子军
nzk 牛仔裤
nzl 拿走了
nzw 农作物
ogt 欧共体
opk 欧佩克
orx 偶然性
pbg 皮包骨
pbl 跑不了
pbp 怕不怕
pdb 跑单帮
pfb 皮肤病
pfm 平方米
pgz 泡个澡
phb 排行榜
phh 胖乎乎
phm 平衡木
phx 破坏性
pix 平常心
pjl 破纪录
plh 漂亮话
plm 拼了命
plp 拍了拍
plt 跑龙套
plu 泼冷水
pmk 贫民窟
pmt 平面图
ppp 啪啪啪
ppr 飘飘然
pql 爬起来
pqu 喷气式
pqx 迫切性
prl 平日里
pru 譬如说
psl 蒲松龄
ptg 葡萄干
pth 普通话
ptj 葡萄酒
ptl 泡汤了
ptr 普通人
ptt 葡萄糖
ptu 普陀山
ptx 排他性
pty 葡萄牙
pux 普适性
pvh 破折号
pvp 怕只怕
pvy 偏重于
pwx 抛物线
pxb 培训班
pxf 培训费
pxp 拍胸脯
pxx 平行线
pxy 偏向于
pyh 鄱阳湖
pyp 拼一拼
pyq 朋友圈
qad 亲爱的
qbg 气不过
qbl 去不了
qbt 丘比特
qbv 却不知
qdf 清道夫
qdh 千岛湖
qdi 气垫船
qdl 取得了
qdq 瞧得起
qdv 期待着
qdx 确定性
qfb 全封闭
qfh 千分号
qfq 潜伏期
qfv 千分之
qfw 全方位
qfx 启发性
qgd 穷光蛋
qgg 气鼓鼓
qgj 缺根筋
qgl 奇怪了
qgq 曲棍球
qgx 全国性
qgz 潜规则
qhc 青花瓷
qhd 秦皇岛
qhh 气呼呼
qhj 前后脚
qhl 亲和力
qht 秋海棠
qhu 青海省
qhw 氰化物
qjc 前几次
qjd 旗舰店
qjf 全家福
qjg 前几个
qjj 清洁剂
qjl 请见谅
qjm 前几名
qjn 前几年
qjp 全键盘
qjr 前几日
qjt 前几天
qjx 请教下
qjy 取决于
qjz 前脚走
qlg 前两个
qph 俏皮话
qpp 轻飘飘
qqe 蛐蛐儿
qsl 气死了
qsu 起诉书
qtj 钱塘江
qtq 青铜器
qvd 起征点
qvf 区政府
qvg 敲竹杠
qvj 起重机
qvn 青壮年
qvs 清真寺
qvt 穷折腾
qvx 强制性
qvz 牵着走
qwm 区位码
qwv 期望值
qxh 情绪化
qxl 取消了
qxn 前些年
qxt 前些天
qyb 晴雨表
qyc 去一次
qyd 前一段
qyf 七月份
qyl 强有力
qyq 瞧一瞧
qys 清一色
qyu 潜意识
qyw 前一晚
qzb 签字笔
qzd 全自动
qzy 起作用
rbd 容不得
rbi 认不出
rbl 饶不了
rbq 惹不起
rbr 热不热
rbr 让不让
rbu 若不是
rbv 忍不住
rbx 容不下
rdh 惹的祸
rdy 热带鱼
rdz 软刀子
rem 日耳曼
rgq 绕个圈
rgy 日光浴
rhj 热乎劲
rhu 任何事
rib 日程表
rif 入场费
riq 入场券
rjm 肉夹馍
rjp 软键盘
rkl 绕口令
rkq 热空气
rlf 人来疯
rll 人流量
rlr 揉了揉
rlx 人类学
rmb 人民币
rmm 软绵绵
rnl 忍耐力
rnw 日内瓦
rpp 软趴趴
rpu 日偏食
rqq 热气球
rqu 日全食
rqw 人情味
rqz 绕圈子
rru 热热身
rrx 柔韧性
rsl 热死了
rst 染色体
rtm 人头马
rtt 热腾腾
rtu 人头税
rvr 绕指柔
rwl 任务栏
rwz 绕弯子
rxd 人行道
rxh 人性化
rxi 热心肠
rxr 热心人
ryg 荣誉感
ryp 日用品
ryq 绕一圈
ryr 忍一忍
ryt 日月潭
ryw 容易忘
rzn 孺子牛
sbd 三班倒
sbg 三不管
sbh 三把火
sbj 所不及
sbl 随便了
sbn 随便你
sbq 三部曲
sbs 算不算
sbu 算不上
sbx 四不像
sbz 腮帮子
sdj 三等奖
sdl 死定了
sdr 三代人
sdt 死对头
sdu 所得税
sdx 私底下
sfc 私房菜
sfj 司法局
sfq 私房钱
sft 三伏天
sfv 三分钟
sgb 三个半
sgl 苏格兰
sgp 算个屁
shj 松花江
shl 撒哈拉
shs 四环素
sht 死胡同
sjc 私家菜
sjh 三句话
sji 私家车
sjq 丧家犬
skq 松口气
sks 萨克斯
skt 思考题
slb 算了吧
sld 塑料袋
slg 三连冠
sli 三轮车
slk 斯洛克
sll 酸溜溜
slm 所罗门
sln 苏里南
sls 算了算
slx 三两下
sly 司令员
slz 撒拉族
sml 索马里
smm 色眯眯
smv 三明治
smy 扫描仪
snb 随你吧
snk 斯诺克
spl 撕破脸
sqk 三七开
sql 算起来
sqq 死翘翘
sqy 三缺一
sss 三四岁
sst 三四天
stl 三条路
stq 随他去
sue 塞舌尔
suh 私生活
sum 送上门
sut 随身听
swk 孙悟空
swl 死亡率
sws 四五岁
swu 四五十
swy 三文鱼
sxl 私下里
sxu 三小时
sxw 色香味
sxx 思想性
sxy 死心眼
syh 私有化
syn 所以呢
sys 扫一扫
syu 所以说
syy 扫一眼
szy 嗓子眼
tal 太矮了
tbc 挺不错
tbd 听不懂
tbg 通不过
tbi 听不出
tbj 听不见
tbl 太棒了
tbq 听不清
tbt 听不听
tbu 谈不上
tcl 听错了
teq 土耳其
tfb 挺方便
tfg 通风管
tfj 太费劲
tfl 太烦了
tfw 铁饭碗
tfx 突发性
tgf 太过分
tgg 头盖骨
tgx 提个醒
tgy 铁观音
thb 天花板
thl 太好了
tjl 听见了
tjq 太极拳
tjs 田径赛
tla 谈恋爱
tlf 吐鲁番
tlh 挺厉害
tlj 拖拉机
tll 太累了
tlr 同龄人
tls 托拉斯
tlx 铁了心
tlz 捅娄子
tml 太慢了
tns 突尼斯
tpf 通配符
tpk 突破口
tpx 突破性
tpy 太平洋
tqd 跆拳道
tqi 听清楚
tqj 探亲假
tql 太强了
tqx 同情心
tqy 听其言
trl 太弱了
trm 甜如蜜
trq 天然气
trx 讨人嫌
try 挺容易
ttg 退堂鼓
tti 土特产
ttj 凸透镜
ttl 淘汰了
ttq 通通气
tts 淘汰赛
ttu 提提神
ttv 团团转
ttw 踢踏舞
tug 图书馆
tvu 通知书
twd 台湾岛
twh 题外话
twj 体温计
twl 太晚了
twp 调味品
tws 同位素
twt 天文台
twu 台湾省
twx 天文学
txd 剃须刀
txi 体现出
txj 退休金
txl 通讯录
txm 同学们
txu 通讯社
txv 通行证
txw 铜臭味
txx 挑衅性
tyg 同一个
tyh 头一回
tyi 体育场
tyn 太阳能
typ 拖油瓶
tyy 投影仪
tyz 同音字
tzl 太早了
ubd 说不定
ubf 少部分
ubh 说不好
ubi 说不出
ubk 社保卡
ubl 受不了
ubn 上半年
ubq 说不清
ubs 十八岁
ubt 双胞胎
ubv 睡不着
ubw 说不完
ubx 睡不醒
uby 上半夜
ucp 收藏品
udf 水电费
udg 十多个
udh 说得好
udj 圣诞节
udm 收到没
udn 十多年
udr 十多人
udt 手电筒
udu 山东省
ues 十二岁
uey 十二月
ufv 身份证
ugg 山沟沟
ugt 摔跟头
uhq 耍花腔
ukb 时刻表
ukl 顺口溜
uky 社科院
ulg 十来个
ull 水灵灵
ulm 耍流氓
uls 说了算
ult 水龙头
ulx 生理学
umg 神秘感
umh 书名号
umj 双面胶
uml 生命力
umq 生闷气
umt 水蜜桃
umu 说明书
umv 实名制
umx 生命线
umy 守门员
umz 数目字
ung 少年宫
unj 伤脑筋
upg 水平高
upm 水平面
upq 适配器
upx 水平线
uqb 受气包
uqi 说清楚
uql 失去了
uqn 数千年
uqs 十七岁
uqx 双曲线
urf 输入法
uri 双人床
urj 双刃剑
urs 收容所
usd 十三点
uti 手推车
utl 伤透了
utw 竖条纹
utx 试探性
uty 晒太阳
uvt 手指头
uvu 深圳市
uwc 商务舱
uwh 上午好
uwj 税务局
uwl 失误了
uwm 视网膜
uwq 生物圈
uws 事务所
uwt 啥问题
uwu 十位数
uww 爽歪歪
uxf 手续费
uxh 说瞎话
uxq 实习期
uxr 双休日
uxv 受限制
uxw 上下文
uxy 受限于
uyf 十月份
uyg 上一个
uyh 双引号
uys 啥意思
uyt 收银台
uyv 是一种
uyw 是因为
uyx 试一下
vbb 皱巴巴
vbc 真不错
vbd 找不到
vbg 只不过
vbh 准备好
vbj 猪八戒
vbk 睁不开
vbl 准备了
vbu 这不是
vbv 找不着
vbx 装不下
vbz 这辈子
vdh 这段话
vdm 知道吗
vdn 正当年
vdu 这倒是
vjg 芝加哥
vjh 这句话
vjn 这几年
ijp 椎间盘
vjt 这几天
vkl 逐客令
vku 这可是
vkv 准考证
vkw 重口味
vkx 只可惜
vky 中科院
vlh 纸老虎
vll 着凉了
vlt 这两天
vmb 这么笨
vmc 捉迷藏
vmd 这么多
vmg 这么贵
vmh 这么好
vmv 这么长
vmj 这么久
vmm 这么慢
vmn 这么难
vmp 这么胖
vmq 这么巧
vmr 掌门人
vmt 皱眉头
vmu 这么说
vmv 中美洲
vmw 这么晚
vmx 这么想
vmy 这么远
vmz 这么早
vne 执牛耳
vnh 中南海
vnj 滞纳金
vnl 正能量
vnr 中年人
vnt 这年头
vnu 只能说
vnv 指南针
vpr 制片人
vpy 占便宜
vqf 正前方
vqj 中秋节
vqr 知其然
vqy 知其一
vrw 主人翁
vtb 涨停板
vtg 转托管
vti 直通车
vtl 状态栏
vtm 真他妈
vtr 猪头肉
vtt 直挺挺
itx 重头戏
vtz 猪蹄子
vvb 正准备
vvd 转折点
vvu 这种事
vwb 中文版
vwh 中午好
vwk 赚外快
vwm 中文名
vxb 中小板
vxg 照相馆
vxj 照相机
vxl 执行力
vxn 这些年
vxt 这些天
vxu 中学生
vxy 只限于
vyb 职业病
vyc 这一次
vye 扎伊尔
vyf 障眼法
vyg 找一个
vyj 转眼间
vyk 这一块
vyl 注意力
vym 至于吗
vyq 转一圈
vys 这也算
vyt 这一天
vyw 中英文
vyz 这样子
vzh 栀子花
wbb 喂不饱
wbc 窝边草
wbd 王八蛋
wbh 五笔画
wbi 完不成
wbl 忘不了
wbq 玩不起
wbu 无不是
wbv 玩不转
wcz 误操作
wdd 无底洞
wdv 五大洲
wem 沃尔玛
wew 沃尔沃
wgd 乌干达
wgf 晚高峰
wgh 温哥华
wgl 玩够了
wgn 亡国奴
wgr 外国人
wgy 五个月
wgz 五个字
whr 五花肉
wil 完成了
wvm 无重码
win 未成年
wiv 无产者
wkl 乌克兰
wkx 五颗星
wky 胃溃疡
wlb 忘了吧
wld 五六点
wlf 窝里反
wlg 乌拉圭
wlh 网络化
wli 乌龙茶
wlk 往来款
wlm 无理码
wln 五六年
wlq 乌龙球
wls 五六岁
wlt 玩两天
wlw 问了问
wlx 物理学
wly 五粮液
wmm 雾蒙蒙
wmt 亡命徒
wmu 无名氏
wnf 窝囊废
wnj 万能键
wnl 玩腻了
wnq 窝囊气
wns 威尼斯
wnu 毋宁说
wqj 挖墙脚
wrj 无人机
wrm 万人迷
wry 污染源
wum 为什么
wsn 外孙女
wtb 乌托邦
wth 渥太华
wtj 无条件
wtm 维他命
wtr 委托人
wtu 问题是
wva 无障碍
wvf 无政府
wig 尾椎骨
wvh 无纸化
wvj 无止境
wvv 文绉绉
wvx 完整性
wxd 无线电
wxi 胃下垂
wxj 五星级
wxp 五线谱
wxq 危险期
wxr 外星人
wxv 无形中
wxw 无线网
wxx 危险性
wyb 晚一步
wyd 晚一点
wye 玩意儿
wyf 五月份
wyg 无用功
wyj 无意间
wyl 无压力
wyn 维也纳
wyu 武夷山
wyv 无意中
wyw 文言文
wyx 问一下
wyy 无异于
wyz 乌鸦嘴
wzf 外祖父
wzl 屋子里
wzm 外祖母
wzq 五子棋
wzx 晚自习
xbg 信不过
xbk 想不开
xcb 下次吧
xcj 下次见
xcl 写错了
xcm 小聪明
xcx 瞎操心
xdd 小弟弟
xdf 小地方
xdg 信得过
xdh 闲得慌
xdk 想得开
xdm 想得美
xdn 想当年
xdr 想当然
xdt 行得通
xdw 现代文
xdx 相对性
xdy 相当于
xdz 小动作
xed 希尔顿
xej 小而精
xek 小儿科
xeu 形而上
xex 形而下
xfd 小幅度
xfe 媳妇儿
xfi 悬浮窗
xfj 兴奋剂
xfp 消费品
xfv 消费者
xfx 新发现
xfy 消防员
xgb 修改版
xgc 小高层
xgd 香港岛
xgg 小哥哥
xgi 性高潮
xgj 膝关节
xgl 习惯了
xgn 小姑娘
xgx 习惯性
xgy 下个月
xgz 洗个澡
xhb 小伙伴
xhd 信号灯
xhe 歇会儿
xhh 笑呵呵
xhl 学会了
xhm 喜欢吗
xhn 瞎胡闹
xhv 向后转
xhx 下划线
xjd 现阶段
xji 小轿车
xjj 小姐姐
xjk 小金库
xjp 新加坡
xjq 陷进去
xjt 心绞痛
xjy 相较于
xpn 橡皮泥
xqi 想清楚
xql 想起来
xqt 星期天
xsf 泄私愤
xsl 笑死了
xsp 小算盘
xsr 吓死人
xuq 显示器
xvb 修正版
xvd 想知道
xve 下周二
xvh 瞎指挥
xvj 新专辑
xvl 下周六
xvm 下周末
xvr 下周日
xvs 下周三
xvx 象征性
xvy 下周一
xwh 下午好
xwi 下午茶
xwj 洗碗机
xwl 想歪了
xwx 想问下
xwy 夏威夷
xxn 谢谢你
xyg 下一个
xzb 心脏病
xzj 写字间
xzl 写字楼
xzm 瞎琢磨
xzq 协奏曲
xzr 闲杂人
xzt 选择题
xzx 选择性
xzy 写作业
ybf 一部分
ybs 也不算
ycl 原材料
yde 一点儿
ydf 一顿饭
ydg 一等功
ydi 一大串
ydj 一等奖
ydk 一大口
ydl 意大利
ydm 源代码
ydn 雅典娜
ydp 一大片
ydq 一大群
yds 胰岛素
ydt 冤大头
ydu 有点事
ydw 亚丁湾
ydx 运动鞋
ydz 一大早
yfh 一分货
yfk 预付款
yfl 引发了
yfm 一方面
yfq 一分钱
yfv 一分钟
yfx 一封信
yfy 依附于
yfz 一份子
ygb 一个班
ygc 一个词
ygd 应该的
ygf 一公分
ygg 一个个
ygh 一锅烩
ygm 一个梦
ygn 一股脑
ygp 荧光屏
ygr 一个人
ygu 应该是
ygv 一个钟
ygy 一个月
ygz 一个字
ylb 一览表
ylc 一两次
yld 一两点
ylf 医疗费
ylg 一两个
ylh 一两回
yli 一连串
ylk 伊拉克
yll 又来了
ylm 跃龙门
yln 一两年
ylq 娱乐圈
ylt 一两天
ylu 原来是
ylv 意料中
ylz 一揽子
ymb 有毛病
ymc 油麦菜
ymd 一面倒
yme 爷们儿
ymh 妖魔化
yml 压马路
ymm 一幕幕
ymq 一毛钱
ymr 虞美人
ymu 一码事
ymv 一秒钟
ymx 亚马逊
ymy 有没有
ymz 夜猫子
ynj 一年级
ynu 云南省
ypg 一屁股
ypl 有魄力
ypm 一平米
ypp 一片片
ypy 硬碰硬
yqd 优缺点
yqf 右前方
yqg 一千个
yqh 邀请函
yqj 元器件
yqk 眼前亏
yql 用起来
yqq 雨凄凄
yqu 尤其是
yqv 有气质
yrj 愚人节
ysl 以色列
ytl 一条路
yvb 圆珠笔
yvd 眼中钉
yvf 一阵风
yvh 一枝花
yvi 一指禅
yvj 有主见
yvl 意志力
yvm 验证码
yvt 一整天
yvz 一阵子
ywg 一万个
ywj 源文件
